Day,Time,Hours,Category,Project,Sub Project
1/1/2023,N/A,2.5,3rd+ Draft,Sorceress,2nd Draft
1/2/2023,N/A,3.25,3rd+ Draft,Sorceress,2nd Draft
1/6/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
1/7/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
1/8/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
1/13/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
1/14/2023,N/A,1.5,Free Write,Katarin,Pre-1st draft experiments
1/15/2023,N/A,1,Free Write,Katarin,Pre-1st draft experiments
1/21/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
1/22/2023,N/A,3,3rd+ Draft,Sorceress,2nd Draft
1/22/2023,N/A,0.5,Free Write,Katarin,Pre-1st draft experiments
1/28/2023,N/A,1,3rd+ Draft,Sorceress,2nd Draft
1/29/2023,N/A,2.25,3rd+ Draft,Sorceress,2nd Draft
1/30/2023,N/A,0.25,3rd+ Draft,Sorceress,2nd Draft
2/1/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/3/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
2/4/2023,N/A,1.25,3rd+ Draft,Sorceress,2nd Draft
2/5/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
2/10/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/11/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/12/2023,N/A,3,3rd+ Draft,Sorceress,2nd Draft
2/13/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/14/2023,N/A,0.25,3rd+ Draft,Sorceress,2nd Draft
2/15/2023,N/A,0.25,3rd+ Draft,Sorceress,2nd Draft
2/17/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/18/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
2/19/2023,N/A,3,3rd+ Draft,Sorceress,2nd Draft
2/20/2023,N/A,1.25,3rd+ Draft,Sorceress,2nd Draft
2/24/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/25/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
2/26/2023,N/A,1,3rd+ Draft,Sorceress,2nd Draft
2/26/2023,N/A,0.5,Querying,Sorceress,
3/5/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
3/5/2023,N/A,1,Querying,Sorceress,
3/6/2023,N/A,0.5,Querying,Sorceress,
3/7/2023,N/A,0.25,Querying,Sorceress,
3/10/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
3/10/2023,N/A,1,Free Write,Katarin,Pre-1st draft experiments
3/10/2023,N/A,1,Querying,Sorceress,
3/11/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
3/11/2023,N/A,0.5,Querying,Sorceress,
3/12/2023,N/A,1,Querying,Sorceress,
3/13/2023,N/A,0.5,Querying,Sorceress,
3/17/2023,N/A,1,Free Write,Katarin,Pre-1st draft experiments
3/19/2023,N/A,1.25,Free Write,Warriors,1st draft attempt
3/20/2023,N/A,0.25,Free Write,Warriors,1st draft attempt
3/20/2023,N/A,1.75,Querying,Sorceress,
3/21/2023,N/A,0.25,Free Write,Warriors,1st draft attempt
3/22/2023,N/A,0.25,Free Write,Warriors,1st draft attempt
3/25/2023,N/A,2.75,Querying,Sorceress,
3/26/2023,N/A,2,Free Write,Warriors,1st draft attempt
7/2/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
7/4/2023,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
7/12/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
7/14/2023,N/A,1,Free Write,Wolf Girl,1st draft attempt
7/15/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
7/16/2023,N/A,1.25,Free Write,Wolf Girl,1st draft attempt
7/17/2023,N/A,0.75,Free Write,Wolf Girl,1st draft attempt
7/18/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
7/19/2023,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
7/20/2023,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
7/21/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
7/22/2023,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
7/23/2023,N/A,1,Free Write,Wolf Girl,1st draft attempt
7/28/2023,N/A,1.25,Free Write,Wolf Girl,1st draft attempt
7/29/2023,N/A,1.25,Free Write,Wolf Girl,1st draft attempt
7/30/2023,N/A,1.25,Free Write,Wolf Girl,1st draft attempt
9/9/2023,N/A,1.5,1st Draft,Raven,Outlining
9/9/2023,N/A,1.75,Free Write,Wolf Girl,1st draft attempt
9/11/2023,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
9/12/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
9/13/2023,N/A,0.5,1st Draft,Raven,Outlining
9/13/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
9/15/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
9/16/2023,N/A,0.5,1st Draft,Raven,Outlining
9/16/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
9/16/2023,N/A,0.75,Free Write,Misc,
9/16/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
9/17/2023,N/A,1.5,3rd+ Draft,Sorceress,3rd Draft
9/17/2023,N/A,0.25,Free Write,Misc,
9/17/2023,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
9/18/2023,N/A,0.25,1st Draft,Raven,Outlining
9/18/2023,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
9/19/2023,N/A,0.25,3rd+ Draft,Sorceress,3rd Draft
9/20/2023,N/A,0.25,1st Draft,Raven,
9/20/2023,N/A,0.5,1st Draft,Raven,
9/22/2023,N/A,0.5,1st Draft,Raven,
9/22/2023,N/A,0.5,Free Write,Wolf Girl,1st draft attempt
9/23/2023,N/A,0.5,1st Draft,Raven,
9/27/2023,N/A,1,1st Draft,Raven,
9/28/2023,N/A,0.5,1st Draft,Raven,
9/29/2023,N/A,1,1st Draft,Raven,
9/30/2023,N/A,1,1st Draft,Raven,Outlining
9/30/2023,N/A,0.5,1st Draft,Raven,
9/30/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
10/1/2023,N/A,1,1st Draft,Raven,Outlining
10/3/2023,N/A,0.25,1st Draft,Raven,
10/4/2023,N/A,0.75,1st Draft,Raven,
10/6/2023,N/A,0.5,1st Draft,Raven,
10/7/2023,N/A,0.5,1st Draft,Raven,
10/8/2023,N/A,1.25,1st Draft,Raven,
10/9/2023,N/A,0.5,1st Draft,Raven,
10/10/2023,N/A,0.5,1st Draft,Raven,
10/11/2023,N/A,0.5,1st Draft,Raven,
10/12/2023,N/A,0.5,1st Draft,Raven,
10/13/2023,N/A,0.75,1st Draft,Raven,
10/14/2023,N/A,0.75,1st Draft,Raven,
10/15/2023,N/A,0.75,1st Draft,Raven,Outlining
10/16/2023,N/A,0.25,1st Draft,Raven,Outlining
10/16/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
10/21/2023,N/A,0.25,Free Write,Secondary Beneficiary,
10/27/2023,N/A,0.25,1st Draft,Raven,
10/28/2023,N/A,0.38,1st Draft,Raven,
10/29/2023,N/A,0.38,1st Draft,Raven,
10/30/2023,N/A,0.25,1st Draft,Raven,
10/31/2023,N/A,0.25,1st Draft,Raven,
11/1/2023,N/A,0.75,1st Draft,Raven,
11/2/2023,N/A,0.5,1st Draft,Raven,
11/3/2023,N/A,1,1st Draft,Raven,
11/4/2023,N/A,1.25,1st Draft,Raven,
11/5/2023,N/A,1.75,1st Draft,Raven,
11/6/2023,N/A,0.5,1st Draft,Raven,
11/7/2023,N/A,1,1st Draft,Raven,
11/8/2023,N/A,0.75,1st Draft,Raven,
11/9/2023,N/A,0.5,1st Draft,Raven,
11/10/2023,N/A,2.5,1st Draft,Raven,
11/11/2023,N/A,1,1st Draft,Raven,
11/12/2023,N/A,1,1st Draft,Raven,
11/13/2023,N/A,0.5,1st Draft,Raven,
11/14/2023,N/A,0.5,1st Draft,Raven,
11/15/2023,N/A,0.75,1st Draft,Raven,
11/16/2023,N/A,0.75,1st Draft,Raven,
11/17/2023,N/A,1.5,1st Draft,Raven,
11/18/2023,N/A,1.5,1st Draft,Raven,
11/19/2023,N/A,1.75,1st Draft,Raven,
11/20/2023,N/A,1.25,1st Draft,Raven,
11/21/2023,N/A,1.5,1st Draft,Raven,
11/22/2023,N/A,1,1st Draft,Raven,
11/23/2023,N/A,0.5,1st Draft,Raven,
11/24/2023,N/A,0.25,1st Draft,Raven,
11/25/2023,N/A,1,1st Draft,Raven,
11/26/2023,N/A,1,1st Draft,Raven,
11/27/2023,N/A,0.5,1st Draft,Raven,
11/27/2023,N/A,0.25,Free Write,Warriors,Outlining
11/28/2023,N/A,0.5,1st Draft,Raven,
11/28/2023,N/A,0.25,Free Write,Warriors,Outlining
11/29/2023,N/A,0.5,1st Draft,Raven,
11/29/2023,N/A,0.75,Free Write,Warriors,Outlining
11/30/2023,N/A,0.25,1st Draft,Raven,
12/1/2023,N/A,0.25,1st Draft,Raven,
12/1/2023,N/A,0.75,Free Write,Warriors,Outlining
12/2/2023,N/A,0.5,1st Draft,Raven,
12/3/2023,N/A,0.5,1st Draft,Raven,
12/4/2023,N/A,0.75,Free Write,Warriors,Outlining
12/5/2023,N/A,0.5,1st Draft,Raven,
12/6/2023,N/A,0.5,1st Draft,Raven,
12/7/2023,N/A,0.5,1st Draft,Raven,
12/8/2023,N/A,0.75,1st Draft,Raven,
12/9/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
12/10/2023,N/A,0.75,3rd+ Draft,Sorceress,3rd Draft
12/11/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
12/12/2023,N/A,0.25,3rd+ Draft,Sorceress,3rd Draft
12/13/2023,N/A,1,3rd+ Draft,Sorceress,3rd Draft
12/14/2023,N/A,0.75,3rd+ Draft,Sorceress,3rd Draft
12/15/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
12/16/2023,N/A,1.5,3rd+ Draft,Sorceress,3rd Draft
12/17/2023,N/A,2,3rd+ Draft,Sorceress,3rd Draft
12/18/2023,N/A,2,3rd+ Draft,Sorceress,3rd Draft
12/19/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
12/19/2023,N/A,0.75,Querying,Sorceress,
12/20/2023,N/A,0.75,3rd+ Draft,Sorceress,3rd Draft
12/20/2023,N/A,0.75,Querying,Sorceress,
12/21/2023,N/A,0.5,3rd+ Draft,Sorceress,3rd Draft
12/22/2023,N/A,0.75,3rd+ Draft,Sorceress,3rd Draft
12/23/2023,N/A,2.25,3rd+ Draft,Sorceress,3rd Draft
12/23/2023,N/A,0.25,Querying,Sorceress,
12/24/2023,N/A,1,3rd+ Draft,Sorceress,3rd Draft
12/25/2023,N/A,0.25,Free Write,Warriors,Outlining
12/25/2023,N/A,0.75,Querying,Sorceress,
12/26/2023,N/A,0.5,Free Write,Warriors,Outlining
12/26/2023,N/A,0.25,Querying,Sorceress,
12/27/2023,N/A,0.5,Free Write,Warriors,1st draft attempt
12/27/2023,N/A,0.5,Free Write,Warriors,Outlining
12/27/2023,N/A,0.5,Querying,Sorceress,
12/28/2023,N/A,0.25,Free Write,Warriors,Outlining
12/28/2023,N/A,2,Querying,Sorceress,
12/29/2023,N/A,1,2nd Draft,Raven,Planning
12/29/2023,N/A,0.25,Querying,Sorceress,
12/30/2023,N/A,3.75,Querying,Sorceress,
12/31/2023,N/A,2,2nd Draft,Raven,Planning
1/1/2024,N/A,3.5,2nd Draft,Raven,Planning
1/2/2024,N/A,1,Querying,Sorceress,
1/3/2024,N/A,1.5,2nd Draft,Raven,Planning
1/3/2024,N/A,0.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/3/2024,N/A,1.5,Querying,Sorceress,
1/3/2024,N/A,0.25,Querying,Sorceress,
1/4/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
1/5/2024,N/A,4.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/6/2024,N/A,3.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/7/2024,N/A,5.25,3rd+ Draft,Sorceress,4th Draft - R&R
1/8/2024,N/A,1.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/9/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
1/10/2024,N/A,2,3rd+ Draft,Sorceress,4th Draft - R&R
1/11/2024,N/A,0.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/12/2024,N/A,1,3rd+ Draft,Sorceress,4th Draft - R&R
1/13/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
1/14/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
1/15/2024,N/A,5.5,3rd+ Draft,Sorceress,4th Draft - R&R
1/16/2024,N/A,2,3rd+ Draft,Sorceress,4th Draft - R&R
1/17/2024,N/A,1.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/18/2024,N/A,0.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/19/2024,N/A,1,3rd+ Draft,Sorceress,4th Draft - R&R
1/20/2024,N/A,4.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/21/2024,N/A,5.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/22/2024,N/A,1.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/23/2024,N/A,2.25,3rd+ Draft,Sorceress,4th Draft - R&R
1/24/2024,N/A,0.75,3rd+ Draft,Sorceress,4th Draft - R&R
1/25/2024,N/A,0.5,3rd+ Draft,Sorceress,4th Draft - R&R
1/26/2024,N/A,4.5,3rd+ Draft,Sorceress,4th Draft - R&R
1/27/2024,N/A,3.5,3rd+ Draft,Sorceress,4th Draft - R&R
1/28/2024,N/A,4.5,3rd+ Draft,Sorceress,4th Draft - R&R
1/29/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
1/30/2024,N/A,2.25,3rd+ Draft,Sorceress,4th Draft - R&R
1/31/2024,N/A,2.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/1/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/2/2024,N/A,3,3rd+ Draft,Sorceress,4th Draft - R&R
2/3/2024,N/A,1,3rd+ Draft,Sorceress,4th Draft - R&R
2/4/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/5/2024,N/A,3.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/6/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/7/2024,N/A,1,3rd+ Draft,Sorceress,4th Draft - R&R
2/8/2024,N/A,0.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/9/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/10/2024,N/A,1,3rd+ Draft,Sorceress,4th Draft - R&R
2/11/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/11/2024,N/A,1,Free Write,Scavengers,
2/12/2024,N/A,0.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/13/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/14/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/15/2024,N/A,0.75,3rd+ Draft,Sorceress,4th Draft - R&R
2/16/2024,N/A,1,3rd+ Draft,Sorceress,4th Draft - R&R
2/17/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/18/2024,N/A,3,3rd+ Draft,Sorceress,4th Draft - R&R
2/19/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/20/2024,N/A,1.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/21/2024,N/A,1.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/22/2024,N/A,0.5,3rd+ Draft,Sorceress,4th Draft - R&R
2/23/2024,N/A,1.75,3rd+ Draft,Sorceress,4th Draft - R&R
2/24/2024,N/A,4.25,3rd+ Draft,Sorceress,4th Draft - R&R
2/24/2024,N/A,0.25,Free Write,Warriors,Outlining
2/25/2024,N/A,0.25,Free Write,Warriors,1st draft attempt
2/25/2024,N/A,1,Free Write,Warriors,Outlining
2/26/2024,N/A,0.75,Free Write,Warriors,1st draft attempt
2/27/2024,N/A,1,Free Write,Misc,
2/27/2024,N/A,0.75,Free Write,Warriors,1st draft attempt
2/28/2024,N/A,0.75,Free Write,Warriors,1st draft attempt
2/29/2024,N/A,0.25,2nd Draft,Raven,Planning
2/29/2024,N/A,2,Free Write,Warriors,1st draft attempt
3/1/2024,N/A,0.5,2nd Draft,Raven,Planning
3/1/2024,N/A,0.5,Free Write,Warriors,1st draft attempt
3/2/2024,N/A,0.5,Free Write,Warriors,1st draft attempt
3/3/2024,N/A,1.75,2nd Draft,Raven,Planning
3/3/2024,N/A,0.5,Free Write,Warriors,1st draft attempt
3/3/2024,N/A,0.25,Querying,Sorceress,
3/4/2024,N/A,1.25,2nd Draft,Raven,Planning
3/5/2024,N/A,0.75,2nd Draft,Raven,Planning
3/6/2024,N/A,0.75,2nd Draft,Raven,Planning
3/7/2024,N/A,0.75,2nd Draft,Raven,Planning
3/8/2024,N/A,0.25,2nd Draft,Raven,Planning
3/8/2024,N/A,1,2nd Draft,Raven,Planning
3/9/2024,N/A,1.5,2nd Draft,Raven,Planning
3/9/2024,N/A,0.25,Free Write,Rachel,
3/10/2024,N/A,1.5,2nd Draft,Raven,Planning
