Day,Time,Hours,Category,Project,Sub Project
12/10/2024,N/A,0.5,2nd Draft,Raven,
12/11/2024,N/A,0.5,2nd Draft,Raven,
12/12/2024,N/A,0.5,Querying,Sorceress,
12/13/2024,N/A,0.25,Free Write,Hunter,
12/14/2024,N/A,0.25,Free Write,Wolf Girl,1st draft attempt
12/15/2024,N/A,0.25,Free Write,Misc,Brainstorming
12/16/2024,N/A,0.25,2nd Draft,Raven,
12/17/2024,N/A,0.25,2nd Draft,Raven,
12/18/2024,N/A,0.5,2nd Draft,Raven,
12/19/2024,N/A,0.25,2nd Draft,Raven,
12/21/2024,N/A,0.25,Free Write,Misc,Brainstorming
12/22/2024,N/A,0.5,Free Write,Misc,Brainstorming
12/23/2024,N/A,0.5,2nd Draft,Raven,
12/24/2024,N/A,0.25,2nd Draft,Raven,
12/27/2024,N/A,0.5,2nd Draft,Raven,
12/28/2024,N/A,0.5,2nd Draft,Raven,
12/29/2024,N/A,0.75,2nd Draft,Raven,
12/30/2024,N/A,1.75,Free Write,Rachel,
12/31/2024,N/A,0.25,2nd Draft,Raven,
12/31/2024,N/A,0.75,Free Write,Rachel,
1/1/2025,N/A,4.75,2nd Draft,Raven,
1/2/2025,N/A,5,2nd Draft,Raven,
1/3/2025,N/A,1.25,2nd Draft,Raven,
1/4/2025,N/A,2.75,2nd Draft,Raven,
1/5/2025,N/A,2.75,2nd Draft,Raven,
1/6/2025,N/A,1,2nd Draft,Raven,
1/7/2025,N/A,1,2nd Draft,Raven,
1/8/2025,N/A,1,2nd Draft,Raven,
1/9/2025,N/A,0.5,2nd Draft,Raven,
1/10/2025,N/A,0.25,2nd Draft,Raven,
1/11/2025,N/A,1,2nd Draft,Raven,
1/12/2025,N/A,1.5,2nd Draft,Raven,
1/13/2025,N/A,0.5,2nd Draft,Raven,
1/14/2025,N/A,0.25,2nd Draft,Raven,
1/15/2025,N/A,1.25,2nd Draft,Raven,
1/16/2025,N/A,0.25,2nd Draft,Raven,
1/17/2025,N/A,0.25,2nd Draft,Raven,
1/19/2025,N/A,0.25,Querying,Misc,
1/22/2025,N/A,0.25,2nd Draft,Raven,
1/29/2025,N/A,1,2nd Draft,Raven,
2/5/2025,N/A,1,2nd Draft,Raven,
2/9/2025,N/A,0.5,2nd Draft,Raven,
2/19/2025,N/A,1,2nd Draft,Raven,
2/22/2025,N/A,0.5,2nd Draft,Raven,
2/24/2025,N/A,0.5,2nd Draft,Raven,
2/26/2025,N/A,1,2nd Draft,Raven,
3/2/2025,N/A,1.25,2nd Draft,Raven,
3/3/2025,N/A,1,2nd Draft,Raven,
3/4/2025,N/A,0.75,2nd Draft,Raven,
3/5/2025,N/A,1,2nd Draft,Raven,
3/6/2025,N/A,0.25,2nd Draft,Raven,
3/7/2025,N/A,1.5,2nd Draft,Raven,
3/8/2025,N/A,1.5,2nd Draft,Raven,
3/9/2025,N/A,2.25,2nd Draft,Raven,
3/10/2025,N/A,0.75,2nd Draft,Raven,
3/11/2025,N/A,0.25,2nd Draft,Raven,
3/12/2025,N/A,1.75,2nd Draft,Raven,
3/13/2025,N/A,0.25,2nd Draft,Raven,
3/14/2025,N/A,0.5,2nd Draft,Raven,
3/15/2025,N/A,0.5,2nd Draft,Raven,
3/16/2025,N/A,0.25,2nd Draft,Raven,
3/17/2025,N/A,0.25,2nd Draft,Raven,
3/18/2025,N/A,0.5,2nd Draft,Raven,
3/19/2025,N/A,1.25,2nd Draft,Raven,
3/20/2025,N/A,0.25,2nd Draft,Raven,
3/21/2025,N/A,0.25,Querying,Misc,
3/23/2025,N/A,1.25,2nd Draft,Raven,
3/24/2025,N/A,1,2nd Draft,Raven,
3/25/2025,N/A,0.5,2nd Draft,Raven,
3/26/2025,N/A,1.75,2nd Draft,Raven,
3/27/2025,N/A,0.25,2nd Draft,Raven,
3/28/2025,N/A,0.75,2nd Draft,Raven,
3/29/2025,N/A,1.75,2nd Draft,Raven,
3/30/2025,N/A,1.75,2nd Draft,Raven,
3/31/2025,N/A,0.5,2nd Draft,Raven,
4/1/2025,N/A,0.5,2nd Draft,Raven,
4/2/2025,N/A,1.75,2nd Draft,Raven,
4/3/2025,N/A,0.25,2nd Draft,Raven,
4/4/2025,N/A,0.25,2nd Draft,Raven,
4/5/2025,N/A,1,2nd Draft,Raven,
4/6/2025,N/A,0.5,2nd Draft,Raven,
4/7/2025,N/A,0.5,2nd Draft,Raven,
4/8/2025,N/A,0.25,2nd Draft,Raven,
4/9/2025,N/A,1.75,2nd Draft,Raven,
4/10/2025,N/A,0.5,2nd Draft,Raven,
4/11/2025,N/A,0.75,2nd Draft,Raven,
4/12/2025,N/A,0.75,2nd Draft,Raven,
4/13/2025,N/A,0.5,2nd Draft,Raven,
4/14/2025,N/A,0.5,2nd Draft,Raven,
4/15/2025,N/A,0.25,2nd Draft,Raven,
4/16/2025,N/A,2,2nd Draft,Raven,
4/16/2025,N/A,0.25,Querying,Misc,
4/17/2025,N/A,0.25,2nd Draft,Raven,
4/18/2025,N/A,0.75,2nd Draft,Raven,
4/19/2025,N/A,1.75,2nd Draft,Raven,
4/20/2025,N/A,2.75,2nd Draft,Raven,
4/21/2025,N/A,1,2nd Draft,Raven,
4/22/2025,N/A,1,2nd Draft,Raven,
4/23/2025,N/A,2.25,2nd Draft,Raven,
4/24/2025,N/A,1.25,2nd Draft,Raven,
4/25/2025,N/A,1,2nd Draft,Raven,
4/26/2025,N/A,0.75,2nd Draft,Raven,
4/27/2025,N/A,0.75,2nd Draft,Raven,
4/28/2025,N/A,0.25,2nd Draft,Raven,
4/29/2025,N/A,0.25,Free Write,Misc,Brainstorming
4/30/2025,N/A,0.25,Free Write,Misc,Brainstorming
5/1/2025,N/A,0.25,Free Write,Misc,Brainstorming
5/2/2025,N/A,0.25,Querying,Misc,
5/3/2025,N/A,0.25,Free Write,Hunter,
5/6/2025,N/A,0.25,Free Write,Mansfield,
5/12/2025,N/A,0.5,Free Write,Mansfield,
5/13/2025,N/A,0.25,Free Write,Warriors,1st draft attempt
5/14/2025,N/A,1,Free Write,Warriors,1st draft attempt
5/15/2025,N/A,0.25,Free Write,Warriors,1st draft attempt
5/16/2025,N/A,0.25,Free Write,Warriors,1st draft attempt
5/17/2025,N/A,0.5,Free Write,Warriors,1st draft attempt
5/18/2025,N/A,0.25,Free Write,Warriors,1st draft attempt
5/19/2025,N/A,0.25,2nd Draft,Raven,
5/20/2025,N/A,0.5,2nd Draft,Raven,
5/21/2025,N/A,1.5,2nd Draft,Raven,
5/22/2025,N/A,1.25,2nd Draft,Raven,
5/23/2025,N/A,0.5,2nd Draft,Raven,
5/24/2025,N/A,0.25,2nd Draft,Raven,
5/25/2025,N/A,0.25,2nd Draft,Raven,
5/26/2025,N/A,0.5,2nd Draft,Raven,
5/27/2025,N/A,0.25,2nd Draft,Raven,
5/28/2025,N/A,1.75,2nd Draft,Raven,
5/29/2025,N/A,0.25,Querying,Misc,
5/30/2025,N/A,0.25,2nd Draft,Raven,
6/4/2025,N/A,1.5,2nd Draft,Raven,
6/11/2025,N/A,1,2nd Draft,Raven,
6/17/2025,N/A,0.5,2nd Draft,Raven,
6/18/2025,N/A,0.75,2nd Draft,Raven,
6/19/2025,N/A,3.5,2nd Draft,Raven,
6/19/2025,N/A,0.25,3rd+ Draft,Sorceress,5th Draft - WC reduction
6/20/2025,N/A,2.75,2nd Draft,Raven,
6/21/2025,N/A,0.25,2nd Draft,Raven,
6/22/2025,N/A,0.5,2nd Draft,Raven,
6/23/2025,N/A,0.5,2nd Draft,Raven,
6/24/2025,N/A,0.25,2nd Draft,Raven,
6/25/2025,N/A,1.25,2nd Draft,Raven,
6/26/2025,N/A,0.25,2nd Draft,Raven,
6/27/2025,N/A,0.25,2nd Draft,Raven,
6/28/2025,N/A,0.25,2nd Draft,Raven,
6/29/2025,N/A,0.25,Free Write,Misc,Brainstorming
6/30/2025,N/A,0.25,2nd Draft,Raven,
7/1/2025,N/A,0.25,2nd Draft,Raven,
7/2/2025,N/A,1,2nd Draft,Raven,
7/3/2025,N/A,0.5,2nd Draft,Raven,
7/4/2025,N/A,0.5,2nd Draft,Raven,
7/5/2025,N/A,0.25,2nd Draft,Raven,
7/6/2025,N/A,0.25,2nd Draft,Raven,
7/7/2025,N/A,0.5,2nd Draft,Raven,
7/8/2025,N/A,0.25,2nd Draft,Raven,
7/9/2025,N/A,1.25,2nd Draft,Raven,
7/10/2025,N/A,0.25,2nd Draft,Raven,
7/11/2025,N/A,0.25,2nd Draft,Raven,
7/12/2025,N/A,0.25,2nd Draft,Raven,
7/13/2025,N/A,0.25,2nd Draft,Raven,
7/13/2025,N/A,0.25,Free Write,Misc,Brainstorming
7/14/2025,N/A,0.75,2nd Draft,Raven,
7/15/2025,N/A,0.75,2nd Draft,Raven,
7/16/2025,N/A,1.75,2nd Draft,Raven,
7/17/2025,N/A,0.75,2nd Draft,Raven,
7/18/2025,N/A,0.75,2nd Draft,Raven,
7/19/2025,N/A,0.5,2nd Draft,Raven,
7/20/2025,N/A,2.25,2nd Draft,Raven,
7/21/2025,N/A,2,2nd Draft,Raven,
7/22/2025,N/A,0.5,2nd Draft,Raven,
7/23/2025,N/A,0.25,2nd Draft,Raven,
7/24/2025,N/A,2,2nd Draft,Raven,
7/25/2025,N/A,1.5,2nd Draft,Raven,
7/26/2025,N/A,2,2nd Draft,Raven,
7/27/2025,N/A,2.75,2nd Draft,Raven,
7/28/2025,N/A,1,2nd Draft,Raven,
7/29/2025,N/A,1,2nd Draft,Raven,
7/30/2025,N/A,2.25,2nd Draft,Raven,
7/31/2025,N/A,2.5,2nd Draft,Raven,
7/31/2025,N/A,0.25,Querying,Misc,
8/1/2025,N/A,1,2nd Draft,Raven,
8/2/2025,N/A,1,2nd Draft,Raven,
8/3/2025,N/A,1,2nd Draft,Raven,
8/4/2025,N/A,1,2nd Draft,Raven,
8/5/2025,N/A,0.5,2nd Draft,Raven,
8/6/2025,N/A,2,2nd Draft,Raven,
8/7/2025,N/A,0.5,2nd Draft,Raven,
8/8/2025,N/A,0.25,2nd Draft,Raven,
8/9/2025,N/A,1,2nd Draft,Raven,
8/10/2025,N/A,0.75,2nd Draft,Raven,
8/11/2025,N/A,1.25,2nd Draft,Raven,
8/12/2025,N/A,1,2nd Draft,Raven,
8/13/2025,N/A,1.5,2nd Draft,Raven,
8/14/2025,N/A,1.75,2nd Draft,Raven,
8/15/2025,N/A,1.25,2nd Draft,Raven,
8/16/2025,N/A,2.25,2nd Draft,Raven,
8/17/2025,N/A,2.5,2nd Draft,Raven,
8/18/2025,N/A,1,2nd Draft,Raven,
8/19/2025,N/A,0.5,2nd Draft,Raven,
8/20/2025,N/A,0.75,2nd Draft,Raven,
8/21/2025,N/A,0.25,Querying,Misc,
8/22/2025,N/A,0.25,2nd Draft,Raven,
8/23/2025,N/A,1.75,2nd Draft,Raven,
8/24/2025,N/A,2.75,2nd Draft,Raven,
8/25/2025,N/A,1,2nd Draft,Raven,
8/26/2025,N/A,1,2nd Draft,Raven,
8/27/2025,N/A,2.25,2nd Draft,Raven,
8/28/2025,N/A,0.75,2nd Draft,Raven,
8/29/2025,N/A,1,2nd Draft,Raven,
8/30/2025,N/A,0.5,2nd Draft,Raven,
8/31/2025,N/A,2.25,2nd Draft,Raven,
9/1/2025,N/A,1,2nd Draft,Raven,
9/2/2025,N/A,0.75,2nd Draft,Raven,
9/3/2025,N/A,0.25,2nd Draft,Raven,
9/4/2025,N/A,0.25,2nd Draft,Raven,
9/5/2025,N/A,1,2nd Draft,Raven,
9/6/2025,N/A,1,2nd Draft,Raven,
9/7/2025,N/A,0.25,1st Draft,Katarin,
9/7/2025,N/A,2.5,2nd Draft,Raven,
9/8/2025,N/A,1,2nd Draft,Raven,
9/9/2025,N/A,0.75,2nd Draft,Raven,
9/10/2025,N/A,1.5,2nd Draft,Raven,
9/11/2025,N/A,1.25,2nd Draft,Raven,
9/12/2025,N/A,0.75,2nd Draft,Raven,
9/13/2025,N/A,1,2nd Draft,Raven,
9/14/2025,N/A,2,2nd Draft,Raven,
9/15/2025,N/A,0.75,2nd Draft,Raven,
9/16/2025,N/A,0.75,2nd Draft,Raven,
9/16/2025,N/A,0.25,Free Write,Misc,
9/17/2025,N/A,1.5,2nd Draft,Raven,
9/18/2025,N/A,0.5,2nd Draft,Raven,
9/19/2025,N/A,0.5,2nd Draft,Raven,
9/20/2025,N/A,0.75,2nd Draft,Raven,
9/21/2025,N/A,1,2nd Draft,Raven,
9/22/2025,N/A,0.25,2nd Draft,Raven,
9/23/2025,N/A,0.5,2nd Draft,Raven,
9/23/2025,N/A,0.25,Querying,Misc,
9/24/2025,N/A,0.5,2nd Draft,Raven,
9/25/2025,N/A,0.5,2nd Draft,Raven,
9/26/2025,N/A,0.25,Free Write,Misc,
9/27/2025,N/A,0.25,2nd Draft,Raven,
9/28/2025,N/A,0.25,2nd Draft,Raven,
9/29/2025,N/A,0.25,2nd Draft,Raven,
9/30/2025,N/A,0.25,2nd Draft,Raven,
10/1/2025,N/A,1.25,2nd Draft,Raven,
10/2/2025,N/A,0.5,2nd Draft,Raven,
10/3/2025,N/A,0.25,2nd Draft,Raven,
10/4/2025,N/A,0.25,2nd Draft,Raven,
10/5/2025,N/A,1,2nd Draft,Raven,
10/6/2025,N/A,0.5,2nd Draft,Raven,
10/7/2025,N/A,0.25,2nd Draft,Raven,
10/8/2025,N/A,1.5,2nd Draft,Raven,
10/9/2025,N/A,0.25,2nd Draft,Raven,
10/10/2025,N/A,0.25,2nd Draft,Raven,
10/11/2025,N/A,0.25,2nd Draft,Raven,
10/11/2025,N/A,0.75,Free Write,Mansfield,
10/12/2025,N/A,0.5,Free Write,Mansfield,
10/13/2025,N/A,0.75,2nd Draft,Raven,
10/14/2025,N/A,0.5,2nd Draft,Raven,
10/15/2025,N/A,1.25,2nd Draft,Raven,
10/16/2025,N/A,0.25,2nd Draft,Raven,
10/17/2025,N/A,0.25,2nd Draft,Raven,
10/18/2025,N/A,0.25,2nd Draft,Raven,
10/19/2025,N/A,1.25,2nd Draft,Katarin,Planning
10/20/2025,N/A,0.25,2nd Draft,Katarin,Planning
10/21/2025,N/A,0.5,2nd Draft,Katarin,Planning
10/22/2025,N/A,0.25,2nd Draft,Katarin,Planning
10/23/2025,N/A,0.25,2nd Draft,Katarin,Planning
10/24/2025,N/A,0.5,2nd Draft,Katarin,Planning
10/25/2025,N/A,0.5,2nd Draft,Katarin,Planning
10/26/2025,N/A,1.5,2nd Draft,Katarin,Planning
10/27/2025,N/A,0.25,2nd Draft,Katarin,Planning
10/28/2025,N/A,0.25,2nd Draft,Katarin,Planning
10/29/2025,N/A,1.5,2nd Draft,Katarin,Planning
10/30/2025,N/A,0.5,2nd Draft,Katarin,Planning
10/31/2025,N/A,0.25,2nd Draft,Katarin,Planning
11/1/2025,N/A,0.25,2nd Draft,Katarin,Planning
11/2/2025,N/A,0.75,2nd Draft,Katarin,Planning
11/3/2025,N/A,1.25,2nd Draft,Katarin,Planning
11/4/2025,N/A,0.5,2nd Draft,Katarin,Planning
11/5/2025,N/A,1.75,2nd Draft,Katarin,Planning
11/6/2025,N/A,1.5,2nd Draft,Katarin,Planning
11/7/2025,N/A,1.25,2nd Draft,Katarin,Planning
11/8/2025,N/A,1.5,2nd Draft,Katarin,Planning
11/9/2025,N/A,2.5,2nd Draft,Katarin,Planning
11/10/2025,N/A,1.5,2nd Draft,Katarin,Planning
11/11/2025,N/A,1.5,2nd Draft,Katarin,Planning
11/12/2025,N/A,2,2nd Draft,Katarin,Planning
11/13/2025,N/A,0.25,2nd Draft,Katarin,Planning
11/14/2025,N/A,0.25,2nd Draft,Katarin,Planning
11/15/2025,N/A,1,2nd Draft,Katarin,Planning
11/16/2025,N/A,1,2nd Draft,Katarin,Planning
11/17/2025,N/A,0.25,2nd Draft,Katarin,Planning
11/18/2025,N/A,2.25,2nd Draft,Katarin,Planning
11/19/2025,N/A,0.5,2nd Draft,Katarin,Planning
11/20/2025,N/A,0.75,2nd Draft,Katarin,Planning
11/21/2025,N/A,1.25,2nd Draft,Katarin,Planning
11/22/2025,N/A,2,2nd Draft,Katarin,Planning
11/23/2025,N/A,1,2nd Draft,Katarin,Planning
11/24/2025,N/A,3.25,2nd Draft,Katarin,Planning
11/25/2025,N/A,1,2nd Draft,Katarin,Planning
11/26/2025,N/A,2.25,2nd Draft,Katarin,Planning
11/27/2025,N/A,1,2nd Draft,Katarin,Planning
11/28/2025,N/A,3.75,2nd Draft,Katarin,Planning
11/29/2025,N/A,1,2nd Draft,Katarin,Planning
11/30/2025,N/A,2.25,2nd Draft,Katarin,Planning
12/1/2025,N/A,1.25,2nd Draft,Katarin,Planning
12/2/2025,N/A,0.75,2nd Draft,Katarin,Planning
12/3/2025,N/A,1,2nd Draft,Katarin,Planning
12/4/2025,N/A,0.5,2nd Draft,Katarin,Planning
12/5/2025,N/A,0.5,2nd Draft,Katarin,Planning
12/6/2025,N/A,0.5,2nd Draft,Katarin,Planning
12/7/2025,N/A,2,2nd Draft,Katarin,Planning
12/8/2025,N/A,0.75,2nd Draft,Katarin,Planning
12/9/2025,N/A,0.5,2nd Draft,Katarin,Planning
12/10/2025,N/A,1.75,2nd Draft,Katarin,Planning
12/11/2025,N/A,0.25,2nd Draft,Katarin,Planning
12/12/2025,N/A,0.25,2nd Draft,Katarin,Planning
12/13/2025,N/A,0.75,2nd Draft,Katarin,Planning
12/14/2025,N/A,1,2nd Draft,Katarin,Planning
12/15/2025,N/A,1,2nd Draft,Katarin,Planning
12/16/2025,N/A,0.5,2nd Draft,Katarin,
12/17/2025,N/A,2,2nd Draft,Katarin,
12/18/2025,N/A,1.25,2nd Draft,Katarin,
12/19/2025,N/A,0.5,2nd Draft,Katarin,
12/20/2025,N/A,0.5,2nd Draft,Katarin,
12/21/2025,N/A,0.5,2nd Draft,Katarin,
12/22/2025,N/A,0.5,2nd Draft,Katarin,
12/23/2025,N/A,0.5,2nd Draft,Katarin,
12/24/2025,N/A,0.25,2nd Draft,Katarin,
12/25/2025,N/A,0.75,2nd Draft,Katarin,
12/26/2025,N/A,0.5,2nd Draft,Katarin,
12/27/2025,N/A,0.5,2nd Draft,Katarin,
12/28/2025,N/A,0.75,2nd Draft,Katarin,
12/29/2025,N/A,1.5,2nd Draft,Katarin,
12/30/2025,N/A,1,2nd Draft,Katarin,
12/31/2025,N/A,2.5,2nd Draft,Katarin,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
